SR NO,WORD,MEANING,BREIF,VERB,NOUN,ADJECTIVE,DETERMINER,ADVERB,PRONOUN,PERPOSITION,CONJUNCTION,INTERJECTION
116,rancid,having an offensive smell or taste,"Rancid means sour, rotten, and nasty and refers most specifically to the sharp bad smell of decomposing oils or fats. ""Rancid"" is a great name for a post-punk band, but a lousy way to describe the sauce on your eggs Benedict.",,,smelling of fermentation or staleness,,,,,,,
,,,,,,(used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition,,,,,,,
117,rancorous,showing deep-seated resentment,"The adjective rancorous comes in handy when you're describing someone's bitter grudge, like the attitude of your cousin who still won't speak to you after the April Fool's Day prank you played four years ago.",,,showing deep-seated resentment,,,,,,,
118,cavalier,showing a lack of concern or seriousness,"Someone who is cavalier has a dismissive attitude and regards other people as inferior. If you think you know more than your teacher and never bother doing homework, your parents might complain that you are cavalier about your studies.",,a gallant or courtly gentleman,given to haughty disregard of others,,,,,,,
119,altruistic,showing unselfish concern for the welfare of others,"Someone who is altruistic always puts others first. An altruistic firefighter risks his life to save another's life, while an altruistic mom gives up the last bite of pie so her kid will be happy.",,,showing unselfish concern for the welfare of others,,,,,,,
120,pragmatic,concerned with practical matters,"To describe a person or a solution that takes a realistic approach, consider the adjective pragmatic. The four-year-old who wants a unicorn for her birthday isn't being very pragmatic.",,an imperial decree that becomes part of the fundamental law of the land,guided by practical experience and observation rather than theory,,,,,,,
121,fanatical,marked by excessive enthusiasm for a cause or idea,"If you are excessively enthusiastic about something — a sports team, an actor, your religion, saving the whales, a certain brand of chocolate — then you are fanatical about it.",,,marked by excessive enthusiasm for and intense devotion to a cause or idea,,,,,,,
122,monotone,an unchanging intonation,"Monotone is a droning, unchanging tone. Nothing can put you to sleep quite as effectively as a teacher talking in a monotone.",,a single tone repeated with different words or different rhythms (especially in rendering liturgical texts),of a sequence or function; consistently increasing and never decreasing or consistently decreasing and never increasing in value,,,,,,,
,,,,,an unchanging intonation,sounded or spoken in a tone unvarying in pitch,,,,,,,
123,adamant,very hard native crystalline carbon valued as a gem,"If you stubbornly refuse to change your mind about something, you are adamant about it.",,very hard native crystalline carbon valued as a gem,"impervious to pleas, persuasion, requests, or reason",,,,,,,
124,acumen,shrewdness shown by keen insight,"If you have acumen, you are very sharp at what you do. You hope your accountant and your surgeon are both known for their acumen.",,a tapering point,,,,,,,,
,,,,,shrewdness shown by keen insight,,,,,,,,
125,ephemeral,"anything short-lived, as an insect that lives only for a day","Something that is fleeting or short-lived is ephemeral, like a fly that lives for one day or text messages flitting from cellphone to cellphone.",,"anything short-lived, as an insect that lives only for a day in its winged form",lasting a very short time,,,,,,,
126,aggrandize,"embellish; increase the scope, power, or importance of","If you are a window washer, but you refer to yourself as a ""vista enhancement specialist,"" then you are aggrandizing your job title — that is, making it sound greater than it is.",add details to,,,,,,,,,
127,banal,repeated too often; overfamiliar through overuse,"If something is boring and unoriginal, it's banal. Banal things are dull as dishwater.",,,repeated too often; overfamiliar through overuse,,,,,,,
128,meticulous,marked by precise accordance with details,"Someone who is meticulous pays extreme attention to detail. If that person is, say, your surgeon or your accountant, you'll definitely want them to be meticulous!",,,marked by extreme care in treatment of details,,,,,,,
,,,,,,marked by precise accordance with details,,,,,,,
129,eccentric,conspicuously or grossly unconventional or unusual,You're most likely to encounter the adjective eccentric in a description of an unusual or quirky person — like a scatterbrained aunt who leaves her life savings to her cat.,,a person of a specified kind (usually with many eccentricities),not having a common center; not concentric,,,,,,,
,,,,,a person with an unusual or odd personality,conspicuously or grossly unconventional or unusual,,,,,,,
130,harried,"troubled persistently, especially with petty annoyances","Someone who is harried is feeling the stress of being rushed, overworked, or harassed. A harried parent might be exhausted but still have to make 3 dozen cupcakes for school and help with a science project.",,,troubled persistently especially with petty annoyances,,,,,,,
131,analogous,similar or equivalent in some respects,Use the adjective analogous to describe something that is similar to something else and can be compared to another.,,,corresponding in function but not in evolutionary origin,,,,,,,
,,,,,,similar or equivalent in some respects though otherwise dissimilar,,,,,,,
132,hackneyed,repeated too often; overfamiliar through overuse,"Hackneyed is a word for language that doesn't pack a punch since it's overused and trite. ""Roses are red, violets are..."" — enough already?! That's hackneyed stuff.",,,repeated too often; overfamiliar through overuse,,,,,,,
133,disparate,fundamentally different or distinct in quality or kind,"The trunk of some people's cars may contain items as disparate as old clothes, rotting food, and possibly a missing relative. Disparate things are very different from each other.",,,including markedly dissimilar elements,,,,,,,
,,,,,,fundamentally different or distinct in quality or kind,,,,,,,
134,sublime,of high moral or intellectual value,"In common use, sublime is an adjective meaning ""awe-inspiringly grand, excellent, or impressive,"" like the best chocolate fudge sundae you've ever had.",vaporize and then condense right back again,,lifted up or set high,,,,,,,
,,,,change or cause to change directly from a solid into a vapor without first melting,,of high moral or intellectual value; elevated in nature or style,,,,,,,
135,enigmatic,not clear to the understanding,"Something that's enigmatic is tough to figure out. It's puzzling and even mysterious, like those weird secret college societies, Mona Lisa's smile, or the New York Times crossword.",,,resembling an oracle in obscurity of thought,,,,,,,
,,,,,,not clear to the understanding,,,,,,,
136,insipid,lacking interest or significance or impact,Something insipid is lacking in flavor or interest. You'll probably find the generic poems inside of greeting cards insipid.,,,lacking taste or flavor or tang,,,,,,,
,,,,,,lacking interest or significance or impact,,,,,,,
137,conjecture,believe especially on uncertain or tentative grounds,"Can you guess what conjecture means? It's a word to use when you are not sure of something and have to ""guess or surmise.""",believe especially on uncertain or tentative grounds,a message expressing an opinion based on incomplete evidence,,,,,,,,
,,,,believe especially on uncertain or tentative grounds,reasoning that involves the formation of conclusions from incomplete evidence,,,,,,,,
,,,,believe especially on uncertain or tentative grounds,a hypothesis that has been formed by speculating or conjecturing (usually with little hard evidence),,,,,,,,
138,laconic,brief and to the point,"Laconic is an adjective that describes a style of speaking or writing that uses only a few words, often to express complex thoughts and ideas.  A more laconic way to write that last sentence might be this: laconic means brief.",,,brief and to the point; effectively cut short,,,,,,,
139,exigent,demanding immediate attention,"When you describe something as exigent, you are saying it requires attention: it can't be ignored.",,,requiring precise accuracy,,,,,,,
,,,,,,demanding attention,,,,,,,
140,disparage,express a negative opinion of,"If you haven't got anything nice to say, then it's time to disparage someone. It means to belittle or degrade a person or idea.",express a negative opinion of,,,,,,,,,
141,polemical,of or involving dispute or controversy,"The adjective polemical describes something related to an argument or controversy. To keep the peace, avoid discussing politics at Thanksgiving, which usually deteriorates into a polemical argument with Uncle Bob. Better stick to football or apple versus pumpkin pie.",,,of or involving dispute or controversy,,,,,,,
142,asperity,harshness of manner,"Asperity is the harsh tone or behavior people exhibit when they’re angry, impatient, or just miserable. Did your supervisor snap “Late again!” when you showed up 20 minutes after your shift was supposed to start? She's speaking with asperity.",,something hard to endure,,,,,,,,
,,,,,harshness of manner,,,,,,,,
143,dearth,an insufficient quantity or number,"If there is a dearth of something, there is not enough of it. A dearth of cupcakes is unfortunate, but a dearth of nutritious food is a serious problem.",,an acute insufficiency,,,,,,,,
,,,,,an insufficient quantity or number,,,,,,,,
144,oblivion,the state of being disregarded or forgotten,"Oblivion is the state of being forgotten. Your uncle dreamed of being a rock star, but after recording one hit song, he faded into oblivion.",,total forgetfulness,,,,,,,,
,,,,,the state of being disregarded or forgotten,,,,,,,,
145,adolescent,a person who is older than 12 but younger than 20,"Adolescent is just a fancy word for teenager — someone who is no longer a child but is not yet an adult. The word can also be used as an adjective. For example, a particular clothing line might be geared toward adolescent girls.",,a juvenile between the onset of puberty and maturity,relating to or peculiar to or suggestive of an adolescent,,,,,,,
,,,,,a juvenile between the onset of puberty and maturity,in the state of development between puberty and maturity,,,,,,,
,,,,,a juvenile between the onset of puberty and maturity,being of the age 13 through 19,,,,,,,
,,,,,a juvenile between the onset of puberty and maturity,displaying or suggesting a lack of maturity,,,,,,,
146,atrocity,an act of shocking cruelty,"Atrocities, acts of outrageous cruelty, are often committed during wars and armed conflicts.",,the quality of being shockingly cruel and inhumane,,,,,,,,
,,,,,an act of atrocious cruelty,,,,,,,,
147,disdain,lack of respect accompanied by a feeling of intense dislike,"If you feel that something isn't worthy of your consideration, you may disdain it (or treat it with disdain).",reject with contempt,a communication that indicates lack of respect by patronizing the recipient,,,,,,,,
,,,,look down on with disdain,lack of respect accompanied by a feeling of intense dislike,,,,,,,,
148,disingenuous,not straightforward or candid,Use the adjective disingenuous to describe behavior that's not totally honest or sincere. It's disingenuous when people pretend to know less about something than they really do.,,,not straightforward or candid; giving a false appearance of frankness,,,,,,,
149,truculent,defiantly aggressive,"If you are quick to argue, always looking for a fight, and hard to please, you are truculent. You can also write a truculent essay, and fans upset by a loss can become truculent.",,,defiantly aggressive,,,,,,,
150,ubiquitous,being present everywhere at once,"It's everywhere! It's everywhere! When something seems like it's present in all places at the same time, reach for the adjective ubiquitous.",,,being present everywhere at once,,,,,,,
151,superfluous,"more than is needed, desired, or required","When something is so unnecessary that it could easily be done away with, like a fifth wheel on a car or a fifth person on a double date, call it superfluous.",,,serving no useful purpose; having no excuse for being,,,,,,,
,,,,,,"more than is needed, desired, or required",,,,,,,
152,corroborate,give evidence for,"To corroborate is to back someone else’s story. If you swear to your teacher that you didn't throw the spitball, and your friends corroborate your story by promising that you were concentrating on math homework, she might actually believe you.",establish or strengthen as with new evidence or facts,,,,,,,,,
,,,,give evidence for,,,,,,,,,
,,,,support with evidence or authority or make more certain or confirm,,,,,,,,,
153,mundane,found in the ordinary course of events,"An ordinary, unexciting thing can be called mundane: ""Superman hid his heroic feats by posing as his mundane alter ego, Clark Kent.""",,,belonging to this earth or world; not ideal or heavenly,,,,,,,
,,,,,,found in the ordinary course of events,,,,,,,
,,,,,,concerned with the world or worldly matters,,,,,,,
154,accord,concurrence of opinion,"An accord is an agreement between groups or even nations, like a formal peace accord that prevents war or the accord between you and your sister specifying who gets to use the car on which days.",allow to have,a written agreement between two states or sovereigns,,,,,,,,
,,,,be harmonious or consistent with,concurrence of opinion,,,,,,,,
155,exasperation,actions that cause great irritation,"If you've ever become so frustrated with someone or something that you feel like you're at the end of your rope, you have experienced exasperation. You are fed up!",,an exasperated feeling of annoyance,,,,,,,,
,,,,,actions that cause great irritation (or even anger),,,,,,,,
156,eminent,standing above others in quality or position,"Anyone highly regarded or prominent is eminent. Eminent people are very successful at their jobs. If you’ve heard of Neil deGrasse Tyson, it’s probably because he’s an eminent astrophysicist.",,,of imposing height; especially standing out above others,,,,,,,
,,,,,,standing above others in quality or position,,,,,,,
,,,,,,(used of persons) standing above others in character or attainment or reputation,,,,,,,
,,,,,,having an illustrious reputation; respected,,,,,,,
157,ambiguity,unclearness by virtue of having more than one meaning,"Something with ambiguity is unclear. Think about the sentence, ""Jill saw the man with binoculars."" If you are wondering whether Jill or the man had the binoculars, you are noticing the ambiguity, or the double meaning, of this sentence.",,an expression whose meaning cannot be determined from its context,,,,,,,,
,,,,,unclearness by virtue of having more than one meaning,,,,,,,,
158,aberration,a state or condition markedly different from the norm,"An aberration is something strange that rarely occurs. An example of an aberration is when the temperature in Minnesota hits 90 degrees in January — it's nice and warm, but it's really strange.",,an optical phenomenon resulting from the failure of a lens or mirror to produce a good image,,,,,,,,
,,,,,a state or condition markedly different from the norm,,,,,,,,
,,,,,a disorder in one's mental state,,,,,,,,
159,complaisance,a tendency to try to please or yield to the will of others,Complaisance is a quality of being eager to please or happy to follow instructions. Your new puppy's complaisance is going to make her easy to train.,,a disposition or tendency to yield to the will of others,,,,,,,,
160,obstinate,marked by tenacious unwillingness to yield,"When someone is beyond stubborn, use the word obstinate instead: ""You obstinate old mule! Get out of my way!""",persist stubbornly,,resistant to guidance or discipline,,,,,,,
161,shrewdness,intelligence manifested by being astute,,,intelligence manifested by being astute (as in business dealings),,,,,,,,
162,erudite,having or showing profound knowledge,"If you call someone erudite, that means they show great learning. After you've earned your second Ph.D., you will be truly erudite.",,,having or showing profound knowledge,,,,,,,
163,culminate,"end, especially to reach a final or climactic stage","The verb culminate is used to describe a high point or a climactic stage in a process. For example, the goal of a Major League baseball team is to have their season culminate in a World Series victory.","rise to, or form, a summit",,,,,,,,,
,,,,"end, especially to reach a final or climactic stage",,,,,,,,,
,,,,bring to a head or to the highest point,,,,,,,,,
,,,,reach the highest or most decisive point,,,,,,,,,
164,acquiesce,agree or express agreement,"To acquiesce is to agree to something or to give in. If your kid sister is refusing to hand over the television remote, you hope she acquiesces before your favorite show comes on.",agree or express agreement,,,,,,,,,
165,diffidence,lack of self-assurance,"The noun diffidence refers to a lack of self-confidence. Your diffidence might be the reason why you never say ""hi"" to the cute guy or gal in the elevator or why you never ask for a raise.",,lack of self-confidence,,,,,,,,
166,disabuse,free somebody from an erroneous belief,"Disabuse means to free someone of a belief that is not true. Many teachers of health find that when they teach, they spend as much energy disabusing kids of false beliefs as they do giving them the facts.",free somebody (from an erroneous belief),,,,,,,,,
167,frivolous,"not serious in content, attitude, or behavior","Frivolous things are silly or unnecessary. If something is frivolous, then you don't need it.",,,not serious in content or attitude or behavior,,,,,,,
168,vacillate,be undecided about something,"Vacillate means to waver back and forth, unable to decide. You might vacillate between ordering waffles and pancakes at your favorite diner — it’s hard to pick just one when both are so tasty!",move or sway in a rising and falling or wavelike pattern,,,,,,,,,
,,,,be undecided about something; waver between conflicting positions or courses of action,,,,,,,,,
169,propriety,correct behavior,Propriety is following what is socially acceptable in speech and behavior. Your little brother might offend your sense of propriety by burping loudly at the dinner table.,,correct or appropriate behavior,,,,,,,,
170,lugubrious,excessively mournful,"Funerals are lugubrious. So are rainy days and Mondays. Anything that makes you sad, gloomy, or mournful can be called lugubrious.",,,excessively mournful,,,,,,,
171,persistent,stubbornly unyielding,"If something is persistent, it just won't stop. If you're persistent in your suggestions for a trip to Mexico, maybe your parents will eventually give in and take you there.",,,retained; not shed,,,,,,,
,,,,,,stubbornly unyielding,,,,,,,
,,,,,,never-ceasing,,,,,,,
,,,,,,continually recurring to the mind,,,,,,,
172,implacable,incapable of being appeased or pacified,"An implacable person just can’t be appeased. If you really offended your best friend and tried every kind of apology but she refused to speak to you again, you could describe her as implacable.",,,incapable of being placated,,,,,,,
173,obdurate,stubbornly persistent in wrongdoing,"Obdurate is a formal word meaning stubborn. If you want to major in English, but your parents are obdurate that you should go premed, they might go so far as to threaten not to pay your tuition.",,,showing unfeeling resistance to tender feelings,,,,,,,
,,,,,,stubbornly persistent in wrongdoing,,,,,,,
174,abstain,"refrain from doing, consuming, or partaking in something","If you abstain from something, you restrain yourself from consuming it. People usually abstain from things that are considered vices — like eating French fries every day for lunch.",refrain from voting,,,,,,,,,
,,,,choose not to partake in or consume,,,,,,,,,
175,impetuous,characterized by undue haste and lack of thought,"Someone impetuous acts too hastily or carelessly. Hotheaded, impulsive folks are impetuous.",,,marked by violent force,,,,,,,
,,,,,,characterized by undue haste and lack of thought or deliberation,,,,,,,
176,decorum,propriety in manners and conduct,"Decorum is proper and polite behavior. If you let out a big belch at a fancy dinner party, you're not showing much decorum.",,the fitness of a composition’s style to its subject,,,,,,,,
,,,,,propriety in manners and conduct,,,,,,,,
177,eloquent,"expressing yourself readily, clearly, effectively","When you're eloquent, you have a way with words. An eloquent speaker expresses herself clearly and powerfully. Even though eloquent usually describes oral speech, it can also be used to describe powerful writing.",,,"expressing yourself readily, clearly, effectively",,,,,,,
178,providential,peculiarly fortunate or appropriate,"If your best friend pulls up beside you in her convertible just as your bike gets a flat tire, you could call it providential, or magically lucky.",,,resulting from divine providence,,,,,,,
,,,,,,peculiarly fortunate or appropriate; as if by divine intervention,,,,,,,
,,,,,,relating to or characteristic of providence,,,,,,,
179,prodigious,"great in size, force, extent, or degree","Something exceptional, substantial, or great is prodigious. A blizzard includes prodigious wind and snow. A prodigious writer is one who can write a lot and do it well.",,,of momentous or ominous significance,,,,,,,
,,,,,,so great in size or force or extent as to elicit awe,,,,,,,
,,,,,,far beyond what is usual in magnitude or degree,,,,,,,
180,zeal,a feeling of strong eagerness,"Zeal is dedication or enthusiasm for something. If you have zeal, you're willing, energized, and motivated.",,excessive fervor to do something or accomplish some end,,,,,,,,
,,,,,a feeling of strong eagerness (usually in favor of a person or cause),,,,,,,,
,,,,,prompt willingness,,,,,,,,
181,puerile,displaying or suggesting a lack of maturity,"Some people like their movies to have sophisticated humor and others prefer the more puerile humor of pratfalls or jokes about smelly underwear, inappropriate belching, and passing gas.",,,of or characteristic of a child,,,,,,,
,,,,,,displaying or suggesting a lack of maturity,,,,,,,
182,obfuscate,make obscure or unclear,"Some people are experts at obfuscating the truth by being evasive, unclear, or obscure in the telling of the facts. The people who are good at obfuscating would include defense lawyers and teenagers asked about their plans for Saturday night.",make obscure or unclear,,,,,,,,,
183,apathy,an absence of emotion or enthusiasm,Use the noun apathy when someone isn't interested in the important things that are happening. You might feel apathy for the political process after watching candidates bicker tediously with one another.,,the trait of lacking enthusiasm for or interest in things generally,,,,,,,,
,,,,,an absence of emotion or enthusiasm,,,,,,,,
184,benevolent,showing or motivated by sympathy and understanding,"Choose the adjective benevolent for someone who does good deeds or shows goodwill. If your teacher collects homework with a benevolent smile, she's hoping that you've done a good job.",,,generous in assistance to the poor,,,,,,,
,,,,,,showing or motivated by sympathy and understanding and generosity,,,,,,,
,,,,,,intending or showing kindness,,,,,,,
,,,,,,generous in providing aid to others,,,,,,,
185,predicament,an unpleasant or difficult situation,"If you're engaged to get married but suddenly fall in love with someone else, you have gotten yourself into quite a predicament. A predicament is a difficult, confusing, and unpleasant situation.",,a situation from which extrication is difficult especially an unpleasant or trying one,,,,,,,,
186,confine,place limits on,"Confine is all about setting limits. If you are confined to the house, it means you can't leave it. If you're really sick, you might be confined to your bed.","close in; ""darkness confined him""",,,,,,,,,
,,,,place limits on (extent or access),,,,,,,,,
,,,,"restrict or confine, ""I limit you to two visits to the pub a day""",,,,,,,,,
,,,,deprive of freedom; take into confinement,,,,,,,,,
187,progeny,the immediate descendants of a person,"Progeny means ""offspring"" or ""children."" You and your brothers are the progeny of your parents, and your cat's new litter of kittens is her progeny.",,the immediate descendants of a person,,,,,,,,
188,repertoire,the range of skills in a particular field or occupation,Repertoire refers to the full supply of what you can do. A singer's repertoire is all the songs he can sing. A chef's repertoire is what she knows how to cook.,,"a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule",,,,,,,,
,,,,,the entire range of skills or aptitudes or devices used in a particular field or occupation,,,,,,,,
189,impelled,urged or forced to action through moral pressure,,,,urged or forced to action through moral pressure,,,,,,,
190,etched,cut or impressed into a surface,,,,cut or impressed into a surface,,,,,,,
191,prowl,move about in or as if in a predatory manner,"If you move stealthily — like you're looking for something to prey on — then you prowl. Your cat might prowl around the room and pounce on your feet, which is cute if you're awake, but annoying when you're asleep.","loiter about, with no apparent aim",the act of prowling (walking about in a stealthy manner),,,,,,,,
192,propensity,a natural inclination,"A propensity is a natural tendency to behave in a certain way. We all have propensities — things we tend to do. Dogs have a propensity to bark, and many people have a propensity for getting annoyed by it.",,a disposition to behave in a certain way,,,,,,,,
,,,,,a natural inclination,,,,,,,,
,,,,,an inclination to do something,,,,,,,,
193,comprehend,get the meaning of something,"To comprehend something is to understand it, like when you have to read a difficult passage more than once in order to comprehend it.",include in scope; include as part of something broader; have as one's sphere or territory,,,,,,,,,
,,,,get the meaning of something,,,,,,,,,
,,,,become aware of through the senses,,,,,,,,,
194,thoroughly,in an exhaustive manner,"Thoroughly means exhaustively and completely. No matter how thoroughly you clean every carpet, shelf, and windowpane in a house, there is always more dust to be found.",,,,,completely and absolutely (`good' is sometimes used informally for `thoroughly'),,,,,
,,,,,,,,in an exhaustive manner,,,,,
195,erroneous,containing or characterized by mistakes,The adjective erroneous describes something or someone as mistaken and incorrect. Early explorers had the erroneous notion that the oceans were full of dragons.,,,containing or characterized by error,,,,,,,
196,espouse,"choose and follow a theory, idea, policy, etc.","Use the verb espouse to describe the actions of someone who lives according to specific beliefs, such as your friends who espouse environmentalism and as a result walk whenever possible instead of taking the car.",take in marriage,,,,,,,,,
,,,,"choose and follow; as of theories, ideas, policies, strategies or plans",,,,,,,,,
,,,,"take up the cause, ideology, practice, method, of someone and use it as one's own",,,,,,,,,
197,fallacious,containing or based on incorrect reasoning,"Something fallacious is a mistake that comes from too little information or unsound sources. Predictions that the whole state of California will snap off from the rest of North America and float away have proven to be fallacious — for now, anyway.",,,intended to deceive,,,,,,,
,,,,,,containing or based on a fallacy,,,,,,,
,,,,,,based on an incorrect or misleading notion or information,,,,,,,
198,decisive,characterized by resoluteness and firmness,"If you make decisions quickly, you are someone who is decisive. A decisive event can settle something, like a war.",,,unmistakable,,,,,,,
,,,,,,characterized by decision and firmness,,,,,,,
,,,,,,determining or having the power to determine an outcome,,,,,,,
,,,,,,forming or having the nature of a turning point or crisis,,,,,,,
199,penning,the act of creating written works,,,the act of creating written works,,,,,,,,
200,automation,the act of implementing the control of equipment,"Automation means making something automatic, or mechanized. If there's smoke in your house and your smoke detector is set up to ""call"" the fire department, that's an example of automation.",,the condition of being automatically operated or controlled,,,,,,,,
,,,,,the act of implementing the control of equipment with advanced technology; usually involving electronic hardware,,,,,,,,
,,,,,equipment used to achieve automatic control or operation,,,,,,,,
201,apprehended,fully understood or grasped,,,,fully understood or grasped,,,,,,,
202,manoeuvre,a military training exercise,,direct the course; determine the direction of travelling,an action aimed at evading an opponent,,,,,,,,
,,,,act in order to achieve a certain goal,a military training exercise,,,,,,,,
,,,,perform a movement in military or naval tactics in order to secure an advantage in attack or defense,a plan for attaining a particular goal,,,,,,,,
203,worthwhile,sufficiently valuable to justify the investment of time,Things that are worthwhile are good — they're worth the time or money you spend on them.,,,sufficiently valuable to justify the investment of time or interest,,,,,,,
204,wittingly,with full knowledge and deliberation,,,,,,with full knowledge and deliberation,,,,,
205,prominent,conspicuous in position or importance,"If you're looking for an adjective that means ""sticking out above the rest; famous,"" consider prominent. A prominent person might be the big star, the head honcho, the top dog — not just any ordinary person.",,,having a quality that thrusts itself into attention,,,,,,,
,,,,,,conspicuous in position or importance,,,,,,,
206,catapult,an engine providing medieval artillery used during sieges,"A catapult is something that hurls things through the air, like a catapult that sends pumpkins flying in an annual Halloween competition.",hurl as if with a sling,a plaything consisting of a Y-shaped stick with elastic between the arms; used to propel small stones,,,,,,,,
,,,,"shoot forth or launch, as if from a catapult",an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles,,,,,,,,
207,besieged,surrounded by hostile forces,,,,surrounded by hostile forces,,,,,,,
208,conviction,an unshakable belief in something without need for proof,A conviction is something certain: a judgment of guilty in court and a strong belief are both convictions.,,(criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed,,,,,,,,
,,,,,an unshakable belief in something without need for proof or evidence,,,,,,,,
209,compelling,capable of arousing and holding the attention,"Compelling means attractive, or irresistible, or really, really convincing. You know your argument for backpacking across Europe is compelling when your parents not only let you go but also pay for all your expenses.",,,driving or forcing,,,,,,,
,,,,,,capable of arousing and holding the attention,,,,,,,
,,,,,,tending to persuade by forcefulness of argument,,,,,,,
210,elucidate,make clear and comprehensible,"If you elucidate something, you explain it very clearly. If you don't understand fractions, a visit to the pie shop may elucidate the subject for you.",make free from confusion or ambiguity; make clear,,,,,,,,,
,,,,make clear and (more) comprehensible,,,,,,,,,
211,rein,one of a pair of long straps used to control a horse,"Rein is both a noun and a verb for guiding and restraining. You can use the long strap, or rein, on a horse to control its speed and direction, and you can rein in your own tongue by closing your mouth.",stop or slow up one's horse or oneself by or as if by pulling the reins,any means of control,,,,,,,,
,,,,control and direct with or as if by reins,one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse,,,,,,,,
,,,,stop or check by or as if by a pull at the reins,one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse,,,,,,,,
,,,,keep in check,one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse,,,,,,,,
212,incessant,uninterrupted in time and indefinitely long continuing,"Something incessant continues without interruption. When you're on a cross-country flight, it's tough to tolerate the incessant crying of a baby.",,,uninterrupted in time and indefinitely long continuing,,,,,,,
213,falter,"move hesitatingly, as if about to give way","Falter means to hesitate, stumble, or waver, and everything from faith to voices can do it. So if you want to keep your bride or groom happy, it's best not to falter when it's your turn to say ""I do.""",be unsure or weak,the act of pausing uncertainly,,,,,,,,
214,etch,carve or cut a design or letters into,"If you etch something you are cutting into it. You can etch ""I ♥ U"" into a tree trunk with a pocket knife or etch your initials in your desk with a key (if the teacher's not looking).",cause to stand out or be clearly defined or visible,,,,,,,,,
,,,,carve or cut a design or letters into,,,,,,,,,
,,,,carve or cut into a block used for printing or print from such a block,,,,,,,,,
,,,,"selectively dissolve the surface of (a semiconductor or printed circuit) with a solvent, laser, or stream of electrons",,,,,,,,,
215,immemorial,long past,"Anything immemorial is very, very old. You're most likely to hear this word in the phrase ""time immemorial,"" a common way to say ""so long ago that no one remembers it.""",,,long past; beyond the limits of memory or tradition or recorded history,,,,,,,
216,delve,"turn up, loosen, or remove earth","The verb delve means to dig into, loosen, or investigate. She delved into her family's history and discovered an inventor, a checkers champion, and a circus equestrian in her ancestry.",consider in detail and subject to an analysis in order to discover essential features or meaning,,,,,,,,,
,,,,"turn up, loosen, or remove earth",,,,,,,,,
,,,,search for something in a receptacle or container,,,,,,,,,
,,,,inquire into,,,,,,,,,
217,bode,indicate by signs,"The verb bode suggests forecasting. Something bodes well when the clues or signs imply a favorable outcome. But if something bodes ill, you’d better watch out!",indicate by signs,,,,,,,,,
218,repose,freedom from activity,"Repose is a formal or literary term used to mean the act of resting, or the state of being at rest. Repose is also a state of mind: freedom from worry.",be inherent or innate in,a disposition free from stress or emotion,,,,,,,,
,,,,lean in a comfortable resting position,freedom from activity (work or strain or responsibility),,,,,,,,
,,,,lie when dead,the absence of mental stress or anxiety,,,,,,,,
,,,,put in a horizontal position,the absence of mental stress or anxiety,,,,,,,,
219,unscrupulous,without principles,Use the adjective unscrupulous to describe someone who behaves in a dishonest or unethical way.,,,without scruples or principles,,,,,,,
220,juncture,the shape or manner in which things come together,"A juncture is a crucial point in time when a decision must be made. At this juncture, a president might say, the government must decide whether to go ahead with war or to try to solve things diplomatically.",,a crisis situation or point in time when a critical decision must be made,,,,,,,,
,,,,,the shape or manner in which things come together and a connection is made,,,,,,,,
,,,,,an event that occurs at a critical time,,,,,,,,
221,fathom,a linear unit of measurement for water depth,"To fathom something is to understand it thoroughly. It's usually used in the negative, as in ""I can't fathom why he doesn't want to go along with us.""",come to understand,(mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore,,,,,,,,
,,,,measure the depth of (a body of water) with a sounding line,a linear unit of measurement (equal to 6 feet) for water depth,,,,,,,,
222,diligent,quietly and steadily persevering in detail or exactness,"Someone who is diligent works hard and carefully. If you want to write the epic history of your family, you'll have to be very diligent in tracking down and interviewing all of your relatives.",,,characterized by care and perseverance in carrying out tasks,,,,,,,
,,,,,,quietly and steadily persevering especially in detail or exactness,,,,,,,
223,ignominious,deserving or bringing disgrace or shame,"Losing a football game stinks, but losing a game where, at the end, you are lying face down in a puddle of mud and the fans are burning effigies of you in the streets? That is an ignominious defeat.",,,(used of conduct or character) deserving or bringing disgrace or shame,,,,,,,
224,galore,existing in abundance,"At a party with more cupcakes than anyone could imagine, you’ll hear guests say, “There are cupcakes galore!”  Galore means there’s so much that it’s unbelievable.",,,in great numbers,,,,,,,
,,,,,,existing in abundance,,,,,,,
225,imbibe,take in liquids,"Imbibe is a fancy word for ""drink.""  If you need to imbibe ten cups of coffee just to get out of the house, you might have a caffeine problem.",receive into the mind and retain,,,,,,,,,
,,,,take in liquids,,,,,,,,,
,,,,"take (gas, light or heat) into a solution",,,,,,,,,
,,,,"take in, also metaphorically",,,,,,,,,
